text,label,cleaned_text
"Dùng được 1 tuần, Cũng được, nhưng cần cải thiện thêm 💭(?!)(?!)(?!) #review#product_review",1,dùng 1 tuần cũng nhưng cần cải thiện thêm reviewproduct_review
"không dc tốt,",0,không dc tốt
"Đặt trên shopee, Hơi thất vọng về ,, chán thật sự!!!...>.<>.<",0,đặt trên shopee hơi thất vọng về chán thật sự
"Cũng được, nhưng nên nâng cấp dịch vụ.. #review#product_review",1,cũng nhưng nên nâng cấp dịch vụ reviewproduct_review
"Đặt trên shopee, Giao hàng ,..",0,đặt trên shopee giao hàng
đ*o Mình rất yêu với!,2,đo mình rất yêu với
"Không đáng giá tiền, 😞.., không thể chấp nhận được thất vọng quá #review#product_review",0,không đáng giá tiền không thể chấp nhận thất vọng quá reviewproduct_review
"vcl Đặt trên shopee, tạm được, sản phẩm tạm được, đáng đồng tiền 😐?! đc.......? #review#product_review",1,vcl đặt trên shopee tạm sản phẩm tạm đáng đồng tiền đc reviewproduct_review
"Giá tiền hợp lý, đáng đồng tiền #review#product_review",2,giá tiền hợp lý đáng đồng tiền reviewproduct_review
"Chất lượng , cần cải thiện thêm?!?!",0,chất lượng cần cải thiện thêm
"kh Dùng được 1 tuần, Đóng gói gọn gàng, giao hàng tot, quá xịn luôn",2,kh dùng 1 tuần đóng gói gọn gàng giao hàng tot quá xịn luôn
"buon không có gì để chê, sản phẩm đỉnh quá,?!!!!!!! <3 #review#product_review",2,buon không gì để chê sản phẩm đỉnh quá 3 reviewproduct_review
"tạm được, 💁 cũng được, nhưng cần cảiii thiện thêm",1,tạm cũng nhưng cần cảiii thiện thêm
"Sản phẩm tạm được, giá hơi cao 💁",1,sản phẩm tạm giá hơi cao
"đỉnh thật sự, kinh hoàng ✨ tốt hơn mong đợi, giá hơi cao?!",2,đỉnh thật sự kinh hoàng tốt hơn mong đợi giá hơi cao
"Đặt trên shopee, Hơiii thất vọng về , 😕 😞 #review#product_review",0,đặt trên shopee hơiii thất vọng về reviewproduct_review
"Giaoo hàng ,!!?!?",0,giaoo hàng
v đét Mình rất yêu với 😊,2,v đét mình rất yêu với
"Dùng được,!!!, bình thường",1,dùng bình thường
"Cũng được, nhưngggg cần cải thiện thêm, cũng được tương đối ổn huhu",1,cũng nhưngggg cần cải thiện thêm cũng tương đối ổn huhu
"Dùng được 1 tuần, Hơii thất vọng về ,!!!, quá tệ.. hem z hem",0,dùng 1 tuần hơii thất vọng về quá tệ hem z hem
"Mới mua, tốt hơn mong đợi, giá hơi caoooo",2,mới mua tốt hơn mong đợi giá hơi caoooo
🥰 🥰 Mình rat mê với,2,mình rat mê với
"cực kỳ hài lòng Dùng được 1 tuần, Đóng gói gọn gàng, giao hàng chuyên nghiệp 😄, không có gì để chê",2,cực kỳ hài lòng dùng 1 tuần đóng gói gọn gàng giao hàng chuyên nghiệp không gì để chê
"❤️ Sản phẩm xuất sắc quá,.. #review#product_review",2,sản phẩm xuất sắc quá reviewproduct_review
"😞 không đáng tiền, 😞 chất lượng , đánggg đồng tiền",0,không đáng tiền chất lượng đánggg đồng tiền
"🥰 Giá tiền rẻ, chất lượng xứng đáng!",2,giá tiền rẻ chất lượng xứng đáng
"Đóng gói chắc chắn, giao hàng chuyên nghiệp ❤️..!!!!!!",2,đóng gói chắc chắn giao hàng chuyên nghiệp
"Không có gì đặc biệt, 🤔, bình thường",1,không gì đặc biệt bình thường
"tot hơn mong đợi, thấy rat worth!!!!!!!!! <3",2,tot hơn mong đợi thấy rat worth 3
"🤔 Khônggg có gì đặc biệt,(?!)",1,khônggg gì đặc biệt
"Mới mua, 👍 Sản phẩm tốt quá, 😊",2,mới mua sản phẩm tốt quá
"tốt hơn mong đợi, đáng đồng tiền!!",2,tốt hơn mong đợi đáng đồng tiền
"chán thật sự, 😫 giaoooo hàng ,?!!?... #review#product_review",0,chán thật sự giaoooo hàng reviewproduct_review
"đỉnh thật sự ❤️ Đóng gói gọn gàng, giao hàng chuyên nghiệp dk okê",2,đỉnh thật sự đóng gói gọn gàng giao hàng chuyên nghiệp dk okê
"👀 tương đối ổn, không có gì đặc biệt,",1,tương đối ổn không gì đặc biệt
"Tạm ổn, thấy rất worth?!",1,tạm ổn thấy rất worth
"Dùng được 1 tuần, Giá tiền rẻ, rất hời, đỉnh thật sự 😊 #review#product_review",2,dùng 1 tuần giá tiền rẻ rất hời đỉnh thật sự reviewproduct_review
"Dùng được 1 tuần, Sản phẩm chất lượng quá,!",2,dùng 1 tuần sản phẩm chất lượng quá
"Dùng được,...(?!)...",1,dùng
"Mới mua, Mình rất yêu với",2,mới mua mình rất yêu với
"kinh hoàng Giao hàng ,>.<!?",0,kinh hoàng giao hàng
Mình rất thích với ✨...!!!!!! #review#product_review,2,mình rất thích với reviewproduct_review
"tốt hơn mong đợi, giá hơi cao #review#product_review",2,tốt hơn mong đợi giá hơi cao reviewproduct_review
"Đóng gói chắc chắn, giao hàng nhanh 🥰!!!!!! <3",2,đóng gói chắc chắn giao hàng nhanh 3
"Đặt trên shopee, Sản phẩm xuất sắc quá,!!...!!!!?!...!!! #review#product_review",2,đặt trên shopee sản phẩm xuất sắc quá reviewproduct_review
"💯 Sản phẩm xuất sắc quá, ❤️..",2,sản phẩm xuất sắc quá
"đỉnh thật sự, tốt hơn monggg đợi, đáng đồng tiền?!!!!!?!...!!!",2,đỉnh thật sự tốt hơn monggg đợi đáng đồng tiền
"💔 Giao hàng ,!(?)!?...",0,giao hàng
"khong được tốt,!! #review#product_review",0,khong tốt reviewproduct_review
"💁 đét Tạm ổn, giá hơi caooo, tạm được!!(?!)",1,đét tạm ổn giá hơi caooo tạm
"Tạm ổn, giá hơi cao 👀.",1,tạm ổn giá hơi cao
"bình thường, sản phẩm tạm được, đáng đồng tiền 💁!! #review#product_review",1,bình thường sản phẩm tạm đáng đồng tiền reviewproduct_review
"Mới mua, Đóng góiiii gọn gàng, giao hàng đúng hẹn!, đỉnh thật sự!!! <3 #review#product_review",2,mới mua đóng góiiii gọn gàng giao hàng đúng hẹn đỉnh thật sự 3 reviewproduct_review
"😊 tốt hơn mong đợi, cần cải thiện thêm!?!",2,tốt hơn mong đợi cần cải thiện thêm
"Mới mua, Khôngggg đáng giá tiền,",0,mới mua khôngggg đáng giá tiền
"Mới mua, kinh hoàng Giá tiền tốt, rất hờii, không có gì để chê ❤️..!!!!?!!!! <3 #review#product_review",2,mới mua kinh hoàng giá tiền tốt rất hờii không gì để chê 3 reviewproduct_review
"bít Dùng được 1 tuần, 😊 👍 Mình rất yêu với?!.. ...!!!!?!!!!",2,bít dùng 1 tuần mình rất yêu với
"Mới mua, Đóng gói đẹp, giao hàng đúng hẹn",2,mới mua đóng gói đẹp giao hàng đúng hẹn
"Dùng được 1 tuần, ưng cái bụng, sản phẩm đỉnh quá,?!",2,dùng 1 tuần ưng cái bụng sản phẩm đỉnh quá
"Đặt trên shopee, Sản phẩm tốt quá,!!",2,đặt trên shopee sản phẩm tốt quá
"không có gì để chê, mình rất ưng với! 😊?!...!!!!?!",2,không gì để chê mình rất ưng với
"không được tốt, 😢!!",0,không tốt
"Sản phẩm tuyệt vời quá,?!...!!! #review#product_review",2,sản phẩm tuyệt vời quá reviewproduct_review
"Mới mua, 😢 Hơi thất vọng về , 😫>.<",0,mới mua hơi thất vọng về
cực kỳ hài lòng đét Mình rat yêu với #review#product_review,2,cực kỳ hài lòng đét mình rat yêu với reviewproduct_review
"Dùng được 1 tuần, 🥰 Đóng gói đẹp, giao hàng tốt #review#product_review",2,dùng 1 tuần đóng gói đẹp giao hàng tốt reviewproduct_review
"Mới mua, ✨ Đóng gói chắc chắn, giao hànggg đúng hẹn",2,mới mua đóng gói chắc chắn giao hànggg đúng hẹn
"Sản phẩm tạm được, giá hơi caoo?!. #review#product_review",1,sản phẩm tạm giá hơi caoo reviewproduct_review
"Không đáng giá tiền,!!! quá tệ.........",0,không đáng giá tiền quá tệ
"Mới mua, Tạm ổn, giá hơi cao, cũng được 🆗...?......? #review#product_review",1,mới mua tạm ổn giá hơi cao cũng reviewproduct_review
"Đặt trên shopee, Đóng gói gọn gàng, giao hàng nhanh 😄 xuất sắc!!!...!!!!!! <3",2,đặt trên shopee đóng gói gọn gàng giao hàng nhanh xuất sắc 3
"Đóngggg gói gọn gàbg, giao hàng nhanh..!!!!!!",2,đóngggg gói gọn gàbg giao hàng nhanh
"💯 đỉnh thật sự, đóng gói gọn gàng, giao hàng chuyên nghiệp",2,đỉnh thật sự đóng gói gọn gàng giao hàng chuyên nghiệp
"tot hơn mong đợi, thấyy rat worth..!!...!!!!?! #review#product_review",2,tot hơn mong đợi thấyy rat worth reviewproduct_review
"quá xịn luôn, đét ✨ sản phẩm chất lượng quá,..!!...!!!!?!",2,quá xịn luôn đét sản phẩm chất lượng quá
"tốt hơn mong đợi, thấy rất worth",2,tốt hơn mong đợi thấy rất worth
"không thể chấp nhận được Giao hàng ,!!",0,không thể chấp nhận giao hàng
"Đặt trên shopee, Giao hàng , 😞 😢.....>.<",0,đặt trên shopee giao hàng
"Tạm ổn, đáng đồng tiền 👀 🆗.....?(?!) #review#product_review",1,tạm ổn đáng đồng tiền reviewproduct_review
"Giá tiền tốt, rat hời",2,giá tiền tốt rat hời
"Chất lượng , đáng đồng tiền.., không thể chấp nhận được 😕",0,chất lượng đáng đồng tiền không thể chấp nhận
"khong dc tốt,?!?!",0,khong dc tốt
"Dùng được,?! không có gì đặc biệt......?",1,dùng không gì đặc biệt
"Đóng gói đẹp, giao hàng đúng hẹn, ưng cái bụng..!?!...!!!",2,đóng gói đẹp giao hàng đúng hẹn ưng cái bụng
"Không có gì đặc biệt,",1,không gì đặc biệt
"dk Giá tiền hợp lý, chất lượng xứng đáng!!",2,dk giá tiền hợp lý chất lượng xứng đáng
"❤️ ❤️ Đóng gói cẩn thận, giao hàng chuyên nghiệp!!...!!!!!! <3!!! <3",2,đóng gói cẩn thận giao hàng chuyên nghiệp 3 3
xuất sắc 🥰 Mình rất ưng với 💯 !!!...!!!!!!,2,xuất sắc mình rất ưng với
Mình rat thích vớiiii!!! <3!!!!?!,2,mình rat thích vớiiii 3
"tot hơn mong đợi, đáng đồng tiền?!?!",2,tot hơn mong đợi đáng đồng tiền
"Tạm ổn, giá hơi caoo",1,tạm ổn giá hơi caoo
"Dùng được 1 tuần, Đóng gói gọn gàng, giao hàng đúng hẹn!!!!!! #review#product_review",2,dùng 1 tuần đóng gói gọn gàng giao hàng đúng hẹn reviewproduct_review
"huhu Đặt trên shopee, Không đáng giá tiền,",0,huhu đặt trên shopee không đáng giá tiền
"Đặt trên shopee, tot hơn mong đợi, cần cải thiện thêm #review#product_review",2,đặt trên shopee tot hơn mong đợi cần cải thiện thêm reviewproduct_review
Mìbh rất ưng với 😄!!,2,mìbh rất ưng với
"Cũng được, nhưng có thể tốt hơn nữa!!! #review#product_review",1,cũng nhưng có thể tốt hơn nữa reviewproduct_review
"Đặt trên shopee, 💔 Không đáng giá tiền, #review#product_review",0,đặt trên shopee không đáng giá tiền reviewproduct_review
"Không đáng giá tiền, 😕?! #review#product_review",0,không đáng giá tiền reviewproduct_review
"Dùng được 1 tuần, đét Tạm ổn, đáng đồng tiền 💭(?!)...?",1,dùng 1 tuần đét tạm ổn đáng đồng tiền
"thất vọng quá Giao hàng , 😢, quá tệ!?>.< #review#product_review",0,thất vọng quá giao hàng quá tệ reviewproduct_review
"Dùng được 1 tuần, khong được tốt,",0,dùng 1 tuần khong tốt
"Mới mua, 💯 Mình rat thích với!!!",2,mới mua mình rat thích với
"Đặt trên shopee, Giá tiền phải chăng, rat hời, đỉnh thật sự.. bit cực kỳ hài lòng cực kỳ hài lòng",2,đặt trên shopee giá tiền phải chăng rat hời đỉnh thật sự bit cực kỳ hài lòng cực kỳ hài lòng
"Đặt trên shopee, Tạm ổn, thấy rat worth 💭...?(?!)...",1,đặt trên shopee tạm ổn thấy rat worth
"Cũng được, nhưng có thể tốt hơn nữa #review#product_review",1,cũng nhưng có thể tốt hơn nữa reviewproduct_review
"Dùng được 1 tuần, Không có gì đặc biệt,?!.(?!)",1,dùng 1 tuần không gì đặc biệt
"Giá tiền phải chăng, đáng đồng tiền!!!",2,giá tiền phải chăng đáng đồng tiền
"Dùng được 1 tuần, đỉnh thật sự, sản phẩm chất lượng quá,!!",2,dùng 1 tuần đỉnh thật sự sản phẩm chất lượng quá
"Mới mua, 👀 Không có gì đặc biệt,!!......",1,mới mua không gì đặc biệt
"đỉnh thật sự, đónggg gói đẹp, giao hàng chuyên nghiệp..!?!",2,đỉnh thật sự đónggg gói đẹp giao hàng chuyên nghiệp
"Mới mua, quá tệ, giao hàng ,",0,mới mua quá tệ giao hàng
"😢 Hơi thất vọng về ,",0,hơi thất vọng về
"Mới mua, 😞 dã man Chất lượng , đáng đồng tiền, không thể chấp nhận được chán thật sự",0,mới mua dã man chất lượng đáng đồng tiền không thể chấp nhận chán thật sự
"Sản phẩm tạm được, đáng đồng tuền..",1,sản phẩm tạm đáng đồng tuền
"Đặt trên shopee, Mình rất ưng với?!",2,đặt trên shopee mình rất ưng với
"Giá tiền rẻ, đáng đồng tiền v!!! #review#product_review",2,giá tiền rẻ đáng đồng tiền v reviewproduct_review
"Dùng được 1 tuần, tốt hơn mong đợi, giá hơi cao!!! <3",2,dùng 1 tuần tốt hơn mong đợi giá hơi cao 3
"Tạm ổn, thấyyy rất worth 🆗, không có gì đặc biệt...? #review#product_review",1,tạm ổn thấyyy rất worth không gì đặc biệt reviewproduct_review
"chán thật sự Hơi thất vọng về ,",0,chán thật sự hơi thất vọng về
"👎 Hơi thất vọng về ,, thất vọng quá(?)(?) #review#product_review",0,hơi thất vọng về thất vọng quá reviewproduct_review
"tương đối ổn Dùng được 1 tuần, kinh hoàng Tạm ổn, đáng đồng tiền 🆗!!",1,tương đối ổn dùng 1 tuần kinh hoàng tạm ổn đáng đồng tiền
"Giá tiền rẻ, chất lượng xứng đáng!?!!?!...!!!",2,giá tiền rẻ chất lượng xứng đáng
"❤️ 😊 tốt hơn mong đợi, đáng đồng tiền",2,tốt hơn mong đợi đáng đồng tiền
"quá tệ, giaoo hàng , #review#product_review",0,quá tệ giaoo hàng reviewproduct_review
"Giao hàng ,",0,giao hàng
"Sản phẩm cgất lượng quá,!!!",2,sản phẩm cgất lượng quá
"Sản phẩm xuất sắc quá, 😄!!!!!!!!!!!",2,sản phẩm xuất sắc quá
"kinh hoàng Cũng được, nhưng cần cảiiii thiện thêm 💭!",1,kinh hoàng cũng nhưng cần cảiiii thiện thêm
"không có gì để chê, quá xá đóng gói cẩn thận, giao hàng chuyên nghiệp!!!",2,không gì để chê quá xá đóng gói cẩn thận giao hàng chuyên nghiệp
"buon khong được tốt, #review#product_review",0,buon khong tốt reviewproduct_review
"Dùng được 1 tuần, Giá tiền hợp lý, đáng đồng tiền..",2,dùng 1 tuần giá tiền hợp lý đáng đồng tiền
"ưng cái bụng đc đỉnh thật sự 🥰 ưng cái bụng, sản phẩm tuyệt vời quá,..",2,ưng cái bụng đc đỉnh thật sự ưng cái bụng sản phẩm tuyệt vời quá
"Đặt trên shopee, chán thật sự, 😕 khong đángggg giá tuền,!!!",0,đặt trên shopee chán thật sự khong đángggg giá tuền
"Dùng được 1 tuần, kinh hoàng Sản phẩm đỉnh quá,..",2,dùng 1 tuần kinh hoàng sản phẩm đỉnh quá
"quá xá Chất lượng , cần cải thiện thêm, quá tệ",0,quá xá chất lượng cần cải thiện thêm quá tệ
"oke tạm được, 😐 dùng được,?! zui buon",1,oke tạm dùng zui buon
"Dùng được 1 tuần, 👍 tốt hơn mong đợi, cần cảiii thiện thêm #review#product_review",2,dùng 1 tuần tốt hơn mong đợi cần cảiii thiện thêm reviewproduct_review
"tạm được cũng được, dùng được, cũng được",1,tạm cũng dùng cũng
"z tương đối ổn, sản phẩm tạm được, thấyyy rất worth!! vkoj",1,z tương đối ổn sản phẩm tạm thấyyy rất worth vkoj
"Sản phẩm tạm được, cần cải thiện thêm, không có gì đặc biệt...?...?",1,sản phẩm tạm cần cải thiện thêm không gì đặc biệt
"xuất sắc không có gì để chê tot hơn mong đợi, giá hơiii cao",2,xuất sắc không gì để chê tot hơn mong đợi giá hơiii cao
"dk Mới mua, Hơi thất vọngg về ,!!",0,dk mới mua hơi thất vọngg về
"Sản phẩm tuyệt vời quá,..",2,sản phẩm tuyệt vời quá
"z Dùng được 1 tuần, ❤️ tot hơn mong đợi, đáng đồng tiền?! !!!...!!!",2,z dùng 1 tuần tot hơn mong đợi đáng đồng tiền
"tốt hơn mong đợi, thấy rất worth!!!!!! <3!!! <3",2,tốt hơn mong đợi thấy rất worth 3 3
"được của l* vcl Dùng được 1 tuần, Đóngg gói cẩn thận, giao hàng chuyên nghiệp!?!!!! <3",2,l vcl dùng 1 tuần đóngg gói cẩn thận giao hàng chuyên nghiệp 3
"👍 Giá tiền hợp lý, đáng đồng tiền?! #review#product_review",2,giá tiền hợp lý đáng đồng tiền reviewproduct_review
"😊 Đóng gói chắc chắn, giao hàng chuyên nghuệp?!",2,đóng gói chắc chắn giao hàng chuyên nghuệp
"không có gì để chê quá xịn luôn, quá xá 😄 sản phẩm tốt quá,?!",2,không gì để chê quá xịn luôn quá xá sản phẩm tốt quá
"🆗 dã man 👀 Cũng được, nhưng cần cải thiện thêm?!, tương đối ổn?!",1,dã man cũng nhưng cần cải thiện thêm tương đối ổn
"😞 chán thật sự, không dc tốt,!?(?)(?)",0,chán thật sự không dc tốt
"Dùng được 1 tuần, xuất sắc, tốt hơn mongggg đợi, thấy rất worth!!!! <3...!!!!!!",2,dùng 1 tuần xuất sắc tốt hơn mongggg đợi thấy rất worth 3
"dã man Đóng gói đẹp, giaooo hàngg chuyên nghiệp!?!",2,dã man đóng gói đẹp giaooo hàngg chuyên nghiệp
"v Dùng được 1 tuần, ❤️ đỉnh thật sự, giá tiền phải chăng, chất lượng xứng đáng zoui...!!!",2,v dùng 1 tuần đỉnh thật sự giá tiền phải chăng chất lượng xứng đáng zoui
"Dùnggg được, 😐......?...",1,dùnggg
"Dùng được, 😐?! 🤔",1,dùng
"💭 Không có gì đặc biệt,!!!.",1,không gì đặc biệt
"Đóng góii gọn gàng, giaoo hàng nhanh",2,đóng góii gọn gàng giaoo hàng nhanh
"okê bình thường Tạm ổn, thấy rat worth 🤔....?(?!)",1,okê bình thường tạm ổn thấy rat worth
"👍 👍 tot hơn mong đợi, thấy rất worth?!!!!!!!",2,tot hơn mong đợi thấy rất worth
"Hơiiii thất vọng về , 😢!!",0,hơiiii thất vọng về
"tạm được, không có gì đặc biệt,(?!)...?",1,tạm không gì đặc biệt
"🤔 Dùng được,?!, bình thường",1,dùng bình thường
"💔 Giao hànggg ,, không đáng tiền",0,giao hànggg không đáng tiền
"Sản phẩm đỉnh quá, ✨!?!!!!",2,sản phẩm đỉnh quá
"Đặt trên shopee, Sản phẩm tạm được, đáng đồng tiền 😐 bình thường vcl",1,đặt trên shopee sản phẩm tạm đáng đồng tiền bình thường vcl
"Dùng được,?!",1,dùng
"Đặt trên shopee, Giá tiền phải chăng, đáng đồng tiền..!!!...!!!",2,đặt trên shopee giá tiền phải chăng đáng đồng tiền
"okê Cũng được, nhưng cần cải thiện thêm!!! ....?...",1,okê cũng nhưng cần cải thiện thêm
"Đặt trên shopee, Mình rất ưng với?!!!!...!!!...!!!",2,đặt trên shopee mình rất ưng với
"Đóng gói chắc chắn, giao hàng đúng hẹn?!!! #review#product_review",2,đóng gói chắc chắn giao hàng đúng hẹn reviewproduct_review
"💭 Tạm ổn, đáng đồng tiền!!!, cũng được",1,tạm ổn đáng đồng tiền cũng
"Mới mua, đét 🆗 Tạm ổn, đáng đồng tiền",1,mới mua đét tạm ổn đáng đồng tiền
"Sản phẩm đỉnh quá,!!!! <3!!! <3!!!",2,sản phẩm đỉnh quá 3 3
"😞 thất vọng quá, không được tốt,>.<>.<",0,thất vọng quá không tốt
"Mới mua, Đóng gói cẩn thận, giao hàng nhanh 😄",2,mới mua đóng gói cẩn thận giao hàng nhanh
"Dùng được 1 tuần, Hơi thất vọng về ,>.<...",0,dùng 1 tuần hơi thất vọng về
"Sản phẩm tạm được, thấy rất worth, tương đối ổn... #review#product_review",1,sản phẩm tạm thấy rất worth tương đối ổn reviewproduct_review
"Dùng được 1 tuần, Tạm ổn, cần cải thiện thêm?!...?(?!)",1,dùng 1 tuần tạm ổn cần cải thiện thêm
"Tạm ổn, đáng đồng tiền 👀......?",1,tạm ổn đáng đồng tiền
"vl Đặt trên shopee, hông có gì đặc biệt,",1,vl đặt trên shopee hông gì đặc biệt
"Không đáng giá tiền,.....",0,không đáng giá tiền
"Mới mua, xuất sắc, mình rất mê với...!!!!?!!?!",2,mới mua xuất sắc mình rất mê với
"v Mới mua, tốt hơn mongggg đợi, giá hơiiii cao",2,v mới mua tốt hơn mongggg đợi giá hơiiii cao
"Đặt trên shopee, Sản phẩm xuất sắc quá, không có gì để chê!?!...!!!!!!",2,đặt trên shopee sản phẩm xuất sắc quá không gì để chê
"không có gì để chê, giá tiền tốt, chất lượng xứng đáng!!!!?!!!! <3",2,không gì để chê giá tiền tốt chất lượng xứng đáng 3
"Giá tiền phải chăng, rat hời 👍 vloz...!!!!?!",2,giá tiền phải chăng rat hời vloz
"Cũng được, nhưng nên nâng cấp dịch vụ 🆗...(?!)...?",1,cũng nhưng nên nâng cấp dịch vụ
"Sản phẩm xuất sắc quá,!!!?!",2,sản phẩm xuất sắc quá
"tot hơn mongggg đợi, giá hơi cao",2,tot hơn mongggg đợi giá hơi cao
"đét tốt hơn mong đợi, giá hơi caoooo!!! <3!?!",2,đét tốt hơn mong đợi giá hơi caoooo 3
"Đóng góii gọn gàng, giao hàng đúng hẹn..",2,đóng góii gọn gàng giao hàng đúng hẹn
"Giá tiền tốt, đáng đồng tiền!!",2,giá tiền tốt đáng đồng tiền
"Mới mua, Cũng được, nhưng nên nâng cấp dịch vụ!!!",1,mới mua cũng nhưng nên nâng cấp dịch vụ
"Dùng được 1 tuần, Sản phẩm tạm được, đáng đồng tiền 💁 #review#product_review",1,dùng 1 tuần sản phẩm tạm đáng đồng tiền reviewproduct_review
"Đặt trên shopee, Hơi thất vọng về ,..",0,đặt trên shopee hơi thất vọng về
"🆗 🆗 Cũng được, nhưng có thể tot hơn nữa",1,cũng nhưng có thể tot hơn nữa
"✨ Đóng gói chắc chắn, giao hàng chuyên nghiệp!!!!!!!!! <3!!!",2,đóng gói chắc chắn giao hàng chuyên nghiệp 3
"😢 Hơi thất vọng về ,",0,hơi thất vọng về
"Mới mua, 😞 Hơi thất vọng về ,.....!?>.<",0,mới mua hơi thất vọng về
"hem chán thật sự Đặt trên shopee, không dc tốt,, không thể chấp nhận được(?)",0,hem chán thật sự đặt trên shopee không dc tốt không thể chấp nhận
"Đặt trên shopee, Cũnggg được, nhưng cần cải thiện thêm #review#product_review",1,đặt trên shopee cũnggg nhưng cần cải thiện thêm reviewproduct_review
"👍 Đóng gói đẹp, giao hàng chuyên nghiệp 🥰 #review#product_review",2,đóng gói đẹp giao hàng chuyên nghiệp reviewproduct_review
"💁 Cũng được, nhưng nên nâng cấp dịch vụ bình thường cũng được......",1,cũng nhưng nên nâng cấp dịch vụ bình thường cũng
"hông Giá tiền hợp lý, rất hời  #review#product_review",2,hông giá tiền hợp lý rất hời reviewproduct_review
"Mới mua, bình thường, tạm ổn, giá hơi cao 💭?! #review#product_review",1,mới mua bình thường tạm ổn giá hơi cao reviewproduct_review
"đỉnh thật sự, mình rat ưng với?!!?!",2,đỉnh thật sự mình rat ưng với
"tương đối ổn bình thường, sản phẩm tạm được, thấy rất worth 💁!!",1,tương đối ổn bình thường sản phẩm tạm thấy rất worth
"Giá tiền rẻ, chất lượng xứng đáng ❤️",2,giá tiền rẻ chất lượng xứng đáng
"vl Chất lượng , giá hơi cao 😢!!!  #review#product_review",0,vl chất lượng giá hơi cao reviewproduct_review
"khong có gì đặc biệt,..",1,khong gì đặc biệt
"Hơi thất vọng về ,.. 👎",0,hơi thất vọng về
"Dùng được 1 tuần, Không đánggg giá tiền,",0,dùng 1 tuần không đánggg giá tiền
"😠 Chất lượng , đáng đồng tiền.. thất vọng quá okela",0,chất lượng đáng đồng tiền thất vọng quá okela
"Dùngggg được, #review#product_review",1,dùngggg reviewproduct_review
"💭 khong có gì đặc biệt, 💭, tạm được",1,khong gì đặc biệt tạm
"😠 khonggg đáng giá tiền,(?)",0,khonggg đáng giá tiền
"bình thường 👀 Cũng được, nhưng có thể tot hơn nữa",1,bình thường cũng nhưng có thể tot hơn nữa
"Mới mua, 😫 Chất lượng , giá hơi cao!!! buon chán thật sự thất vọng quá",0,mới mua chất lượng giá hơi cao buon chán thật sự thất vọng quá
"đỉnh thật sự, tốt hơn mong đợi, giá hơii cao!!!",2,đỉnh thật sự tốt hơn mong đợi giá hơii cao
"không có gì để chê, tốt hơn mongggg đợi, cần cải thiện thêm",2,không gì để chê tốt hơn mongggg đợi cần cải thiện thêm
"Mới mua, 😢 khong được tốt,...(?)...",0,mới mua khong tốt
"tot hơn mong đợi, cần cải thiện thêm huhu",2,tot hơn mong đợi cần cải thiện thêm huhu
"Giá tiền hợp lý, rat hời 💯, quá xịn luôn...!!!!!!!!!",2,giá tiền hợp lý rat hời quá xịn luôn
Mình rất hài lòng vớii!?!!!!...!!!,2,mình rất hài lòng vớii
"😐 Tạm ổn, giá hơi cao!, không có gì đặc biệt..",1,tạm ổn giá hơi cao không gì đặc biệt
"khôngggg được tốt, #review#product_review",0,khôngggg tốt reviewproduct_review
"Đặt trên shopee, Dùng được,",1,đặt trên shopee dùng
