text,label,source
cần phải xem lại cách vận hành,0,google_play
lỗi ko xem đc stori cả của mình lẫn bạn bè xoá đi tải lại vẫn bị,0,google_play
"càng ngày càng lỗi . quần què gì cũng lỗi ,quá mệt mõi mong ad khắc phục lỗi sớm",0,google_play
thiết bị cũ không hoặc động hết tính năng của Facebook,2,google_play
Khá nhiều lỗi,1,google_play
Video hình ảnh kém chất lượng quá. Gửi hình xem k rõ nét mờ mờ sao á..tệ quá nha,0,google_play
rất tốt,2,google_play
ok...,2,google_play
CHÚ FB SẮP VÁO TU ROI NN AE XÓA FB NHÉ,0,google_play
Sao phần video không xem được như bình thường nữa vậy trời ơi,1,google_play
như con nhà mình,2,google_play
Rồi để,1,google_play
"Ygyu ,nntt",1,google_play
ok,2,google_play
Đang xem mà cứ quảng váo hoài,0,google_play
tốt,0,google_play
tuyệt,2,google_play
Rất hữu ích. tuyệt vời,2,google_play
tốt,2,google_play
good,2,google_play
ok,2,google_play
K đổi đc ngày sinh nó kêu báo để đổi mà có đổi đc đâu,0,google_play
Mọi thứ đều tốt,0,google_play
hai làm việc,2,google_play
tốt,2,google_play
tốt Luận 1985@,2,google_play
👍 👌,2,google_play
cho dù tôi đã dùng nó rất lâu nhưng vẫn kh có bạn gái.,2,google_play
