text,sentiment
Mua nhiều lắm rồi. Thì thoảng có hàng lỗi. Trả lại rất ok á. Nhưng đang trên vàng trả xong xuống bạc luôn rồi á,2
"hàng hóa rất oke , chỉ cần cho kiểm hàng thì mọi thứ đều ổn",2
"Mua sắm thả ga, sale nhiều, nhiều vocher, 💯đ",2
Ứng dụng mua sắm online rất tiện lợi,2
Tiện nghi vl😔,2
Nó có thể giúp tôi mua đồ,2
Tốt,2
"Trải nhiệm tốt, giá rẻ khi cần mua hàng",2
Tiện lợi nhanh chóng chất lượng.,2
Sao vào mua lại ko cho mua vậy😭😭😭🤬😤,2
5 sao trong lòng em,2
Dễ sử dụng,2
Phuc vu tot,2
Tốt,2
Tôi thích shoppe lắm,2
Tốt,2
Ok,2
tốt tốt,2
"Cũng đc, còn tồn tại một số cửa hàng bán hàng nhái kém chất lượng nên ko thích.",2
Rất tốt,2
Cần tằng nhiều mã hơn,2
Chăm sóc khách hàng ok rất ok,2
Ok,2
Ok,2
Shoppe cho quay vòng mà lúc nào quay 2 lần đầu cũng ra hình mặt buồn...chi vậy? .Shopee có biết quay Temu gì đó...1 phát là 79% giảm.Nếu kô làm được như vậy thì bỏ mẹ cái mặt buồn đi nha...rảnh h....,2
ok lăm nhé,2
rất hài lòng,2
Tuyệt vời,2
Tuyệt vời,2
Mọi thứ đều tốt,2
Đặt hàng giá tiền ship rẻ. Chất lượng ok,2
Rất thích,2
mua sắm thuận tiện,2
Giao chậm,2
❤️,2
Hài lòng,2
Hài lòng,2
Hay,2
Đôi khi hay bị đơ ko load đc,2
Do tải lâu,2
Nices,2
"Xử lý đơn nhanh, giao hàng lẹ và nhiều ưu đãi..👍🌷😘",2
Tốt,2
Tốt,2
ok,2
tốt,2
Hay get key delta,2
Tuyệt vời,2
App dùng tốt đến hiện tại thì chưa có lỗi gì,2
ok,2
Like,2
Very good,2
"Tôi thấy rất oke,giao nhanh,đúng hàng",2
Cũng ok đó,2
tot qua,2
mê 🤑,2
Ứng dụng rất tuyệt,2
Mua trên trên shopee có rất nhiều iu đai mình rất thích,2
hay,2
Ok,2
Tốt rẻ chất lượng,2
Tiện lợi,2
Good,2
Khá ổm,2
👍👍👍,2
"Đúng hàng,nhanh",2
Tốt,2
Dùng oki,2
Tốt mà,2
Có giảm giá,2
Mua hàng trên đây siuu rẻ un lại còn thường xuyên tặng phiếu giảm giá vs miễn phí ship nxx,2
Tôi là thành viên của shopee,2
Quá oke,2
Ok,2
Tôi rất thích shopee😍😍😍😍😍,2
"Tôi đề nghị shopee, Shop nào làm ảo ko cho đăng ký vào. Để mất uy tín shopee hết",2
ok,2
App ok,2
Dạo này video shoppe cứ lag lag s á xem ko thoả mái chút nào mong shoppe khắc phục,2
Vui,2
Huhu s không dùng đc mã giảm giá vậy,2
Tốt,2
App rất tuyệt vời,2
tốt,2
"Ổn,tạm ổn,lag,",2
tuyệt,2
Zao này đặt không được huhu còn vo chờ huhu,2
Hay,2
Rất hài lòng,2
Tuyệt vời,2
Tốt,2
Rat tot mua hag tren shoper rat yen tam,2
hay,2
Ok,2
TỐT!,2
Siu hời lên shope đặt hàg bao nhanh bao rẻ còn đang có ct săn capybara nữâa,2
tuyệt vời,2
Tốt,2
Tuyệt vời,2
"Tôi rất thích mua sắm tai Shopee,",2
♥️☺️,2
Tốt. Tiện lợi mình thường xuyên mua hàng trên Shopee,2
Phục vụ tận tình 24/24,2
🙂,2
"Shipper tự hủy hàng , sử lý thì 0 đàng hoàng",2
Ok,2
Tốt,2
Ok,2
Rất ok,2
Good,2
Ok,2
"Nhiều đồ rẻ, shipper hài hòa thân thiện",2
Điện máy quỳnh Anh bán hàng đất tốt lần sau ủng hộ,2
shopee cho hoàn hàng iu quá,2
Ngonn,2
"rất tuyệt vời "" amazing good job""",2
Không mua được,2
Chuẩn,2
Tuyệt vời,2
Tuyệt vời,2
rất tốt,2
ok,2
Có nh hàng fake,2
Shipper đã chửi tôi huhu,2
Bơ phẹt (nice),2
Ứng dụng tốt có nhiều mã giảm giá và nhiều ưu đãi lớn,2
tốt,2
Rất tốt,2
Từ khi có ứng dụng shoppe. tôi thấy rất tiện lợi. trong việc mua sắm...xin cảm ơn..,2
Rất hữu ích,2
đánh giá 5s,2
Ki đến nỗi tệ mà sao các bn đánh giá 1 sao ko v,2
uy tín với khách hàng,2
Giao hàng nhanh.Hàng đẹp Nhân viên giao hàng thân thiết Vui vẻ.,2
Tuyeeht,2
"Rất tiện, nhanh chóng và chất lượng",2
"Trang uy tín, mua được hàng tốt, đổi trả dễ dang",2
ok,2
Tốt,2
tôi thấy rất tốt nhưng sao ko cho tôi đặt hàng,2
"Tốt, nhưng spx giao hàng chậm",2
Ok,2
Mình nghĩ bên shopee nên làm cho ứng dụng không bị giật lag. chứ vào được vài phút là nó đã giật không xem được nữa,2
Cho tooi mã đi,2
Rất tốt nha nên trải về👍👍👍👍👍👍👍,2
Quá ok,2
Mua hàng ở đây rẻ mà tốt,2
Kk. Kkokm ôm mm ink kmkomokommokkmomkm.. mo,2
", , , , , , Y D. V. Tyttyutu Dạ.",2
"Mua hàng trên shoppee rất thuận tiện, hài lòng về chất lượng các dịch vụ",2
"Xin chào shope tôi với danh hiệu là ng mua hàng theo góc nhìn tôi thì shope đã hoàn thiện, chưa hoàn thiện vài điểm như voucher giảm giá (tôi có voucher giảm 45k ship dành riêng cho tôi nhưng khi sử dụng thì bị MO2) shope cần khắc phục về các voucher giảm giá Hope the manufacturer see thanks",2
Tốt,2
thêm tính năng màn hình màu đen đi ạ 🥲,2
shopee tiện ít,2
Ok,2
Tuyệt vời,2
Sản phẩm ok Nhân viên giao hàng ok Shopee chuẩn,2
Quá ok,2
Trước giờ sử dụng vẫn ok. Tự dưng chiều nay lại bắt đầu bị chớp tắt màu cam và đen khiến không thể truy cập app. Mong nhà sản xuất mau sửa bug ạ,2
Ever ever,2
Ok,2
chất lượng,2
Ok,2
Tuyệt vời,2
Đc,2
Dạo này thấy cứ tui đặt hàng shipper không giao rồi tự hủy luôn trên vận chuyển để đơn hàng sắp tới vui lòng chú ý điện thoại mà chờ hoài éo thấy một cuộc gọi nào làm ăn dở quá.,2
Êm,2
"Trải nghiệm khá ok,thuận tiện,tiết kiệm,",2
"Ứng dụng cho nhiều mã giảm giá , đặt hàng đúng với hình ảnh",2
Tuyệt 💓💓💓,2
Thích mua shopper nhe,2
Dùng tốt,2
Rất tuyệt,2
SSsssSsssssasssssssaăwwss số sau khi,2
"Lazada không cho đồng kiểm vậy tôi chỉ mua hàng trên shopee và những trang tmdt cho đồng kiểm thôi, shopee cũng nên giảm bớt quảng cáo kiểu spam làm người dùng khó chịu",2
Ok,2
Minh tháy cũng đc mà,2
Ok,2
"Nhân vien tư vấn hổ trợ nhiệt tình nha , mọi thắc mắc đx giai quyet ht 10đ",2
Shopee rất uy tín mọi người tải shopee về nhé,2
Không,2
Tốt,2
Rất tốt,2
5 sao,2
Hâi quá,2
"Shopee giao hàng i như quảng cáo làm ăn rất là có tâm ok shopee,",2
Xin lỗi :)),2
"Chán shopee lắm , lấy xu bữa này k được nữa, bị giới hạn rồi",2
Ok,2
"Dùng tốt, uy tín",2
tot,2
"Giao nhanh, hàng giao tới không chúc trầy sướt.",2
Ok tiện,2
Tốt,2
Tui đánh giá 5 sao vì key delta,2
Uy tín,2
"Rất hài lòng và nhờ có xem video nhận xu nên hỗ trợ một phần trong việc mua hàng. Cảm ơn ứng dụng tuyệt vời này, cảm ơn rất nhiều. 🥰🥰😘😘❤️❤️❤️❤️❤️",2
Ok,2
Tuyệt💯,2
ok,2
Oke,2
ý nghĩa của từ từ suy nghĩ về y,2
Tôi yêu Shopee vì nhờ Shopee tôi mua được cả thế giới. Cảm ơn Shopee!!!,2
Tốt,2
Good,2
"Xếp hàng nhanh, có nhiều mã free ship, giảm tiền xếp",2
Workstation,2
"Đồ ngon bổ rẻ,nhìu voucher,tặng pi 5 saoooo",2
Mua sắm tiện lợi nhanh chóng. Dịch vụ giao hàng cũng rất tuyệt vời,2
App sài tốt,2
Nice,2
Tiên lợi là đi chợ không tốn xăng,2
Ok,2
Rất tin mua hàng shopee,2
Quá tốt,2
Umk đc,2
Ok,2
Rất tốt,2
Rất xịn sò,2
Rất tốt,2
Tốt ạ,2
tuyệt,2
🥰,2
shopee tự khoá tài khoản và ko cho tạo nhiều acc những ngày sale ko thấy cho mã,2
Tiện lợi,2
Tuyệt,2
Shopee 10đ tuyệt vời,2
Tốt,2
nha phat trien giop cai tgien tot,2
Đã nhận được hàng thấy cũng OK nhưng chưa sử dụng không biết sản phẩm có như mong đợi không,2
ứng dụng tẹt cả là vời 🥰,2
Giao diện đẹp Giá cả cạnh tranh với các nền tảng khác Nhiều voucher giảm giá cũng như nhiều vc freeship rất ok Nhiều mặt hàng đa dạng từ nhỏ nhất đến có giá trị cao. Sẽ ủng hộ shopee nhiều nên cải thiện độ mượt với các thiết bị android thấp nữa thì tốt! 5 saooooooooooooooooooooo,2
Good,2
ok,2
mua hàng rẻ và hàng chuẩn mẫu nên tai nha,2
Tốt,2
Nên mua nhà ae,2
Tốt,2
Tốt,2
ok đấy.mua sắm dễ dàng và chính sách bảo vệ khách hàng tốt.đánh giá 1 lần vẫn chưa chịu là sao? thôi nha,2
Nói chung lại là rất tốt,2
Tốt,2
Tốt,2
"Shopee rất đa dạng mẫu mã . Giao hàng cũng ok, trả hàng hoàn tiền cũng rất nhanh chóng đây là ưu điểm miinh đánh giá rất cao ở shopee",2
Hay,2
Ok,2
Khá ưng,2
ok,2
Tốt,2
rất tôi,2
hí,2
Shoppee ơi cho mình hỏi là sao mình làm theo tất cả xóa cái này xóa cái kia mà shoppee vẫn k cài đặt được ạ Shoppee lo xem lại đi nha k là bị đánh giá 1* là thôi. Tôi nhắc trước rồi đó🤚😘😁😁,2
tốt,2
Sản phẩm mua bán qua mạng uy tín,2
Tuyệt vời,2
Rất tiện,2
"tôi là người mua hàng,mua phải hàng giả.là người bị hại . giờ tôi thành kẻ lừa đảo là sao rồi bị công an mời lên làm việc . tôi san tả bỉm phấn e bé . tôi mua nước giặt đồ omo ở thanh hóa 1lan giờ quy toi thành kẻ lừa đảo.shoppi ko giải quyết vấn đề của tôi được thì từ đây về sau tôi sẻ ko bao giờ mua hàng của shoppi nữa",2
Hay,2
"Shoppe, mong shoppe khôi phục tài khoản giúp mình ạ, mình đã nhận ra lỗi sai khi gian lận mua hàng,.. Mong shoppe duyệt bài này mà gỡ mã M04 bên acc này ạ. Cảm ơn!",2
Tốt nhen,2
Tốt,2
tốt hơn lazada khá nhiều,2
App hay,2
Tiện lợi khi tôi cần linh kiện build PC thì shoppe có hết🥰🥰😍😍,2
Tốt,2
rất tiện lợi khi mua hàng,2
rẻ,2
Mua hàng tiện ích.,2
Rất tốt Nhưng vài đơn ko mua đc,2
Tốt,2
good,2
Ứng dụng tuyệt vời,2
"mua hàng rất tiện lợi, đc freeship. giao hàng nhanh, shipper nhiệt tình",2
Tốt 👍,2
Tiện hơn trước,2
ổn,2
Rất tốt,2
Ko bị quá lác,2
"Nhiều mã giảm giá, giá cũng rẻ , giao hàng OK, nhưng có một số shop ko ủy tín nói chung cũng đc nha",2
Ok,2
Ok,2
Ứng dụng tốt không có điểm nào để chê,2
Tự hủy đơn hàng không lý do ?,2
mua hàng vừa rẻ vừa con shoppee mải đỉnh,2
Hãy cho tôi món đồ 1k,2
Dịch vụ tốt,2
Ủy tinh,2
Hay đặt hàng đc,2
"Giá rẻ ,dễ mua ,nhân viên giao dễ thương",2
"Nhiều loại mã chẳng biết sản phẩm nào được áp dụng ,chưa kịp dùng đã hết.",2
ok,2
Ko biết mô tả sao lùn á,2
👍Tốtt,2
Karaoke,2
Tốt,2
Ok,2
Shoppe thật tuyệt vời. Tôi vẫn luôn tự hào mình là Tín đồ của shoppe ❤️❤️❤️,2
Ok,2
tốt,2
tốt,2
Ok,2
Tốt. Hơn cả tuyệt vời,2
Ok,2
ok,2
"Load khá chậm còn lại thì oki, voucher phong phú",2
Mọi dịch vụ đều tốt hàng hóa nhiều Mỗi tội bán hàng phí sàn cao,2
Có trách nhiệm,2
khuyên dùng ❤️,2
Shop nhiệt tình tư vấn đúng mua về dùng được luôn,2
Ứng dụng t,2
Ok,2
Qua tuyet voi,2
"Shoppe cần hỗ trợ người tiêu dùng loại bỏ các sản phẩm kém chất lượng, hàng giả",2
Săn xu và mua đồ dễ dàng,2
ok,2
Shopee qua hay,2
Hãy lắm đc giảm giá nũa,2
Ứng dụng rất ngon,2
Dùng tốt,2
Mặc dù hơi mắc tiền nhưng rất đáng được 5 sao,2
"Cảm ơn pee rất nhiều! Từ người nội trợ hay săn sale nay nhờ biết đến aff mà mình đã tự chủ kinh tế được 1 phần , tuy ít nhưng rất vui ạ!",2
Dịch vụ chăm sóc khách hàng rất oke tư vấn nhiệt tình gãi đjsng chỗ ngứa,2
ứng dụng này rất tốt,2
Mua sắm online tiện lợi và tiết kiệm,2
xứng đáng được 5 sao,2
Tốt,2
Ứng dụng tốt,2
Rất thích mua trên Shopee,2
Ok,2
Hehe,2
Đc,2
Tốt,2
rút đi đâu rùi ta,2
Tạm được dùng,2
tốt 👍,2
Ok,2
Khôn sống ngu mất tiền,2
"App rất tiện lợi cho việc mua sắm khi ko có thời gian , nhiều mswtj hàng đa dạng",2
Tuy đây ko phải là do Ứng dụng gây ra nhưng những thành phần dựa vào app để lừa đảo đây là 1 phần nhỏ nhưng cũng là một thành phần ko thể để chúng tồn tại lâu được những thành phần này sẽ gây ảnh hưởng đến app gây mắc uy tín của app bạn nên loại bỏ những thành phần này,2
Tốt,2
Tôi rất thích,2
"Shopee uy tín tuyệt vời được kiểm tra hàng thoải mái, không che mắt khách hàng yên tâm nhận hàng, tôi sẽ tiếp tục mua ủng hộ lâu dài cảm ơn.",2
Tôi yêu Shoppee,2
tốt,2
Good,2
Gút văn boy,2
Giao hàng khó tính lại còn ghê nx,2
Hihii đồ rẻ xịn,2
🥰🥰🥰,2
"Cập nhật app thêm tương hợp với tính năng cửa sổ nổi đi, vừa làm việc vừa quan sát kiểm tra đc đơn đến đâu r",2
App đỉnh quá,2
Tốt,2
10 điểm,2
Cho 50 sao,2
"Mua hàng rất rẻ , ko nhiều dung lượng",2
Tôi cũng rất thích ứng dụng shopee. Co nhiều mặt hàng mà ở ứng dụng khác không có . Bản thân tôi sài 3 chiếc điện thoại và chiếc nào tôi cũng tải ứng dụng Shopee cả. Shopee rất tuyệt...,2
"Quyên không chụp ảnh, nhưng chất lượng sản phẩm tốt",2
Dùng quá uy tín,2
Hay,2
Hơi nhiều quả cáo nha,2
Thấy mua tiện lợi nhiều thứ tìm mãi không ra.trên sop lại có,2
Giá tốt nhiều voucher hấp dẫn,2
tốt,2
tôi cực kỳ rất thích hi,2
Đợt mua sau này sao mua 11may massage cầm tay mà giao có một hóa đơn với số tiền tính 11 máy vậy bạn,2
00 kmL 0 0,2
tốt,2
Hợp,2
"Cũng là 1 trong các kênh mua sắn hàng đầu. Giao diện sễ sử dụng. Nhưng khi bấm vào xem 1 sản phẩm nào đó thì cứ lại xuất hiện quảng cáo sản phẩm khác, Nó che mất và làm cho video quảng cáo của sản phẩm đang xem k chạy, đã thế dấu x tắt đi rất nhỏ và khó tắt. Ở phần trang chủ bê ngoài thì quảng cáo k sao nhưng bấm vào xem sản phẩm khác lại hiện như vậy mà khó tắt nữa thì khá tệ",2
Tốt,2
ok,2
Okeyy,2
"Dễ dùng, ổn áp, nhiều gian hàng",2
Rất tốt,2
Shopee mua sắm đã luôn và đẹp nữa,2
Shopee ok nguy tính,2
"Ứng dụng tốt, mua hàng trên mạng ok",2
Thật sự hữu ích . Phù hợp túi tiền . Giao hàng nhanh,2
"Shopee tiện lợi, thân thiện",2
shop tốt,2
mua hàng nhanh hài lòng sp,2
Ok,2
Tôi rất thích lần sau sẽ mua lại,2
Good,2
ok,2
quá hay,2
Cũng nhiều đồ phết,2
Shopee rất ổn nha mn nên dùng:)),2
Mong shopee có cách xóa tài khoản tiếp thị liên kết ạ,2
"giày xăng đan, mang đi mưa không sợ rớt quay nhé mn , nên mua",2
rất tiện ích,2
một trải nghiệm rất tốt,2
giá mua rất rẻ nhiều mã giảm giá,2
Good,2
"Sípo giao hàng là thấy hài lòng rồi, hàng mà có loi chúc dinh cũng nhận luôn gì sípo nhiệt tình",2
Rất tốt,2
Hì,2
10đ,2
tiền shipp đắt nhaa má,2
Tuyệt voeif,2
rất tuyệt vời,2
ok,2
App xịn,2
ok,2
Tiện,2
nó rất tốt tôi đặt hàng chục đơn toàn free ship 🤣,2
Hay,2
Ngon,2
Hog cs gì đâu,2
Ok,2
App rất hay nên tải,2
Hấp dẫn,2
Good 😛😛😛😛😛😛😛,2
Ok,2
dùng rất ok,2
Tốt nhất,2
Tuyet voi lam,2
siêu rẻ,2
Shgejbee,2
Shopee ko mua đc hàng,2
Ok tot,2
10 đ ko có nhưng,2
Oh,2
Không thanh toán được,2
Rất thích,2
Hay.,2
OK,2
Good,2
Trải nghiệm thấy ổn. Trước mua phải hàng giả cũng đc shopee giải quyết nhanh gọn,2
ok,2
Được,2
Rất hay,2
Rất thích luôn 😍😍😍,2
"Cái game trúng iphone mà tôi 5 lần không bấm được hụt cái đầu là sao?? Mình đã sửa lại đánh giá vì thái độ cầu thị của app, mong app khắc phục dần các lỗi nhé",2
rất hữu ích và tiện Lợi,2
Cũng tốt nhé 👍,2
Quá tốt,2
Hayyyyyy,2
Hang gie,2
❤️❤️❤️,2
hữu ích,2
Tốt,2
Sài ap ổn mà hơi lắc nên-1☆ nha,2
MUA HÀNG PHONG PHÚ.GIAO HÀNG CÓ CHẤT LƯỢNG TỐT,2
Shop uy tín,2
Sản phẩm tốt,2
Rất hài lòng dao hàng đúng lịch hẹn 5sao,2
Tuyết nhung tran,2
Trải nghiệm tuyệt vời!,2
Ok,2
mua hàng yen tâm chat lượng tốt 👍👍 k như những trang khác toàn là j đâu k,2
Uy tín phục vụ tốt,2
Khi biết đến shopee mình cảm thấy rất hài lòng ❤️ mua sắm thả ga,2
ok,2
Giao hàng nhanh chóng,2
Shop ok,2
Làm cho cái giao diện chọn shoppe Voucher lại như cũ đi 🙏🙏🙏🙏🙏🙏,2
Rất thích,2
Để thương,2
Nhiều cái mua về không đúng như hình,2
Tốt,2
Rất hài lòng,2
Rất tuyệt,2
Tạm thời thì ổn đấy . Mong sao phục vụ khách hàng được tốt hơn .,2
Trải nghiệm tốt,2
Giao hàng nhanh chóng,2
Tốt lắm ạ,2
Rat tot,2
Tại sao tôi không thể nhấn nút vào để,2
Được,2
"App quá hay mua hàng tiện lợi, uy tín có voucher giảm sâu nữa🔥🔥🔥🔥",2
hay quá,2
Cũng chuẩn đơn nào đơn ấy ko có đối gi,2
Ok luôn,2
Oke sale nhìu mỗi tội hơi lag,2
tốt,2
rẻ ok nha,2
Tiện dụng,2
Trước kia toàn mua trên lazada vì quen dùng và bên shopee tiền ship cao. Nhưng gừi bên shopee thường xuyên có voucher free ship và các voucher giảm giá. Và tiền xu bên shopee cũng được trừ trực tiếp khi mua hàng nên chuyển qua bên shopee này luôn.,2
ok,2
OK,2
Tốt,2
Ok. Chỉ có việc hoàn tiền vào tk shopee mình không thích. Sao ko hoàn tiền vào tk ngân hàng.,2
Vừa túi tiền sinh tố bơ làm rất ngon,2
ok,2
Ứng dụng rất tuyệt,2
quá hay,2
"hayy, làm khách hàng thân thiết thì được nhiều mã lắm nha",2
Ok,2
OK,2
Ok chuẩn,2
"Phô Mai QBB Vị Trái Cây Thơm Ngon Cho Bé Ăn Dặm Nội Địa Nhật Bản Đủ Vị Date Mới - SAKUKO - Phô mai QBB Nhật 90g (6 miếng) là một trong những thực phẩm từ sữa thơm ngon bổ dưỡng được rất nhiều người dùng tin tưởng lựa chọn thời gian qua. Sản phẩm được sản xuất từ nguồn nguyên liệu đảm bảo chất lượng nên mang đến hương vị tự nhiên và vô cùng an toàn cho sức khỏe. ➤ ĐẶC ĐIỂM NỔI BẬT CỦA PHÔ MAI QBB NHẬT BẢN - Vị vanilla thơm ngon tự nhiên + Phô mai vị vanilla 90g (6 miếng) QBB được sản xuất từ kem,",2
Tốt,2
Oki,2
ok,2
"Up to now good, many vouchers, doubleday is good.",2
Tot,2
Sản phẩm tốt chất lượng cảm ơn shop,2
Vui,2
ok,2
"Có nhiều voucher giảm giá, giao hàng nhanh. Nói chung là ưng Shoppe hơn L.az.ad.a rồi đóa❤️",2
được nha,2
Ko đặt đc,2
ok,2
þoot,2
rất thích,2
Rất tốt luôn,2
Oki,2
Siêu thích,2
Good,2
10 điểm,2
Có một số đơn hàng của shopee được đồng kiểm nên tôi rất hài lòng tôi đã mua nhiều trăm đơn hàng bên Lazada nhưng bây giờ Tôi đang chuyển sang shopee 1số đơn cần thiết được đồng kiểm,2
Tốt lắm,2
Tui tải về để nạp ff thôi nhé :)),2
5ua,2
Ok,2
Quá oke cho 1 ứng dụng,2
tốt,2
Tốt đẹp,2
Tốt,2
"Mik thấy mua hàng trên này dễ sd mà còn rẻ nữa ,nhưng vẫn còn 1 số cái cần khắc phục hơn như trong đóng gói của 1 số shop về vận chuyển",2
hơi ít voucher,2
ok,2
"Đặt hàng ok,giao nhanh đúng hẹn!uy tín nha:)",2
Nên tải nhé đối với tôi thì tôi thấy chỉ có 1 cái là giao hàng hơi chậm,2
Rất vừa lòng với dịch vụ,2
Lừa đảo cx nhiều,2
Như l nha Tốt,2
Sao ng mới lại hết mã sử dụng voucher nhỉ cứ bảo là hết lượt sử dụng,2
Good,2
Quá ô kê,2
rất tốt tôi rất thích,2
"Hang thi ok, gưi hơi lâu, đăt sô lương nhiêu gưi bi thiêu hang, mong shop lân sau khăc phuc lai lôi đo. Lân sau minh con đăt mua chô shop nhiêu nưa.",2
Ứng dụng rất oke nhưng thái độ của shipper rất là ko ưa,2
5 sao không có nhưng,2
Mua rất nhiều mặt hàng trên đây đều có bán. Thật là tiện lợi quá đi. Rất thích là được đồng kiểm nữa chứ. Shopee thật là hiểu ý khách hàng.,2
Ok,2
"Rát tốt, nhưng quảng cáo hơi nhiều",2
Ok,2
Chưa tốt cho lắm,2
Ok,2
10đ mà nói chung cũng đc giảm giá siêu rẻ mà còn chất lượng 😙 nữa,2
"Dùng tốt nha nhưng có một vài đơn bị giao sai, thiếu nhắn tin shop ko trả lời",2
Có nhìu mã phi ship ok nha,2
100đ,2
Tôi rất thích mua hàng trên shoppee,2
Tôi thích mua sắm ở đây. Tym tym,2
Giúp tích kiệm được rất nhìu xiền👍👍👍,2
Có lúc đơn đặt mà không về mà trên hệ thống thì bảo là giao hàng thanh công là sao.🤨,2
Tuyệt vời,2
"Đặt hàng nhanh , hàn chuẩn 5 sao",2
Tốt,2
Ok lắm sop ơi,2
"Shopee good,shopee luôn công khai giá tiền trên bao bì để khách hàng dể dàng thanh toán tôi rất rất hài lòng với shopee😘😘😘",2
Đồ siêu rẻ siêu chất lượng luôn ạaa,2
Good,2
Rất tốt,2
tốt,2
ok,2
rất ok,2
Ok,2
Tốt,2
Ok,2
